Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
29/05/2023 15:00:43,System.Runtime,Gen 2 Size (B),Metric,0
29/05/2023 15:00:43,System.Runtime,LOH Size (B),Metric,0
29/05/2023 15:00:43,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
29/05/2023 15:00:43,System.Runtime,Number of Assemblies Loaded,Metric,168
29/05/2023 15:00:43,System.Runtime,IL Bytes Jitted (B),Metric,1380323
29/05/2023 15:00:43,System.Runtime,Number of Methods Jitted,Metric,18763
29/05/2023 15:00:43,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
29/05/2023 15:00:44,System.Runtime,CPU Usage (%),Metric,0
29/05/2023 15:00:44,System.Runtime,Working Set (MB),Metric,140.161024
29/05/2023 15:00:44,System.Runtime,GC Heap Size (MB),Metric,18.180112
29/05/2023 15:00:44,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:44,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:44,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:44,System.Runtime,ThreadPool Thread Count,Metric,6
29/05/2023 15:00:44,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
29/05/2023 15:00:44,System.Runtime,ThreadPool Queue Length,Metric,0
29/05/2023 15:00:44,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,3
29/05/2023 15:00:44,System.Runtime,Allocation Rate (B / 1 sec),Rate,8168
29/05/2023 15:00:44,System.Runtime,Number of Active Timers,Metric,6
29/05/2023 15:00:44,System.Runtime,GC Fragmentation (%),Metric,0
29/05/2023 15:00:44,System.Runtime,GC Committed Bytes (MB),Metric,0
29/05/2023 15:00:44,System.Runtime,Exception Count (Count / 1 sec),Rate,0
29/05/2023 15:00:44,System.Runtime,% Time in GC since last GC (%),Metric,0
29/05/2023 15:00:44,System.Runtime,Gen 0 Size (B),Metric,0
29/05/2023 15:00:44,System.Runtime,Gen 1 Size (B),Metric,0
29/05/2023 15:00:44,System.Runtime,Gen 2 Size (B),Metric,0
29/05/2023 15:00:44,System.Runtime,LOH Size (B),Metric,0
29/05/2023 15:00:44,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
29/05/2023 15:00:44,System.Runtime,Number of Assemblies Loaded,Metric,168
29/05/2023 15:00:44,System.Runtime,IL Bytes Jitted (B),Metric,1380323
29/05/2023 15:00:44,System.Runtime,Number of Methods Jitted,Metric,18763
29/05/2023 15:00:44,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
29/05/2023 15:00:45,System.Runtime,CPU Usage (%),Metric,0.390625
29/05/2023 15:00:45,System.Runtime,Working Set (MB),Metric,140.521472
29/05/2023 15:00:45,System.Runtime,GC Heap Size (MB),Metric,18.23736
29/05/2023 15:00:45,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:45,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:45,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:45,System.Runtime,ThreadPool Thread Count,Metric,7
29/05/2023 15:00:45,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,1
29/05/2023 15:00:45,System.Runtime,ThreadPool Queue Length,Metric,0
29/05/2023 15:00:45,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,11
29/05/2023 15:00:45,System.Runtime,Allocation Rate (B / 1 sec),Rate,57104
29/05/2023 15:00:45,System.Runtime,Number of Active Timers,Metric,6
29/05/2023 15:00:45,System.Runtime,GC Fragmentation (%),Metric,0
29/05/2023 15:00:45,System.Runtime,GC Committed Bytes (MB),Metric,0
29/05/2023 15:00:45,System.Runtime,Exception Count (Count / 1 sec),Rate,4
29/05/2023 15:00:45,System.Runtime,% Time in GC since last GC (%),Metric,0
29/05/2023 15:00:45,System.Runtime,Gen 0 Size (B),Metric,0
29/05/2023 15:00:45,System.Runtime,Gen 1 Size (B),Metric,0
29/05/2023 15:00:45,System.Runtime,Gen 2 Size (B),Metric,0
29/05/2023 15:00:45,System.Runtime,LOH Size (B),Metric,0
29/05/2023 15:00:45,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
29/05/2023 15:00:45,System.Runtime,Number of Assemblies Loaded,Metric,168
29/05/2023 15:00:45,System.Runtime,IL Bytes Jitted (B),Metric,1382061
29/05/2023 15:00:45,System.Runtime,Number of Methods Jitted,Metric,18785
29/05/2023 15:00:45,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,31.111300000000483
29/05/2023 15:00:46,System.Runtime,CPU Usage (%),Metric,0
29/05/2023 15:00:46,System.Runtime,Working Set (MB),Metric,140.521472
29/05/2023 15:00:46,System.Runtime,GC Heap Size (MB),Metric,18.23736
29/05/2023 15:00:46,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:46,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:46,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:46,System.Runtime,ThreadPool Thread Count,Metric,7
29/05/2023 15:00:46,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
29/05/2023 15:00:46,System.Runtime,ThreadPool Queue Length,Metric,0
29/05/2023 15:00:46,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,3
29/05/2023 15:00:46,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
29/05/2023 15:00:46,System.Runtime,Number of Active Timers,Metric,6
29/05/2023 15:00:46,System.Runtime,GC Fragmentation (%),Metric,0
29/05/2023 15:00:46,System.Runtime,GC Committed Bytes (MB),Metric,0
29/05/2023 15:00:46,System.Runtime,Exception Count (Count / 1 sec),Rate,0
29/05/2023 15:00:46,System.Runtime,% Time in GC since last GC (%),Metric,0
29/05/2023 15:00:46,System.Runtime,Gen 0 Size (B),Metric,0
29/05/2023 15:00:46,System.Runtime,Gen 1 Size (B),Metric,0
29/05/2023 15:00:46,System.Runtime,Gen 2 Size (B),Metric,0
29/05/2023 15:00:46,System.Runtime,LOH Size (B),Metric,0
29/05/2023 15:00:46,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
29/05/2023 15:00:46,System.Runtime,Number of Assemblies Loaded,Metric,168
29/05/2023 15:00:46,System.Runtime,IL Bytes Jitted (B),Metric,1382061
29/05/2023 15:00:46,System.Runtime,Number of Methods Jitted,Metric,18785
29/05/2023 15:00:46,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
29/05/2023 15:00:47,System.Runtime,CPU Usage (%),Metric,0
29/05/2023 15:00:47,System.Runtime,Working Set (MB),Metric,140.529664
29/05/2023 15:00:47,System.Runtime,GC Heap Size (MB),Metric,18.245552
